tokenID;name;description;file_name;external_url;attributes[Type];
1;zkMon #1;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;1.png;https://explorer.modulus.xyz/batch/5/inference/40016;Owl;
2;zkMon #2;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;2.png;https://explorer.modulus.xyz/batch/5/inference/40017;Owl;
3;zkMon #3;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;3.png;https://explorer.modulus.xyz/batch/5/inference/40018;Owl;
4;zkMon #4;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;4.png;https://explorer.modulus.xyz/batch/5/inference/40019;Owl;
5;zkMon #5;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;5.png;https://explorer.modulus.xyz/batch/5/inference/40020;Owl;
6;zkMon #6;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;6.png;https://explorer.modulus.xyz/batch/5/inference/40021;Owl;
7;zkMon #7;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;7.png;https://explorer.modulus.xyz/batch/5/inference/40022;Owl;
8;zkMon #8;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;8.png;https://explorer.modulus.xyz/batch/5/inference/40023;Owl;
9;zkMon #9;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;9.png;https://explorer.modulus.xyz/batch/5/inference/40024;Owl;
10;zkMon #10;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;10.png;https://explorer.modulus.xyz/batch/5/inference/40025;Owl;
11;zkMon #11;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;11.png;https://explorer.modulus.xyz/batch/5/inference/40026;Owl;
12;zkMon #12;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;12.png;https://explorer.modulus.xyz/batch/5/inference/40027;Owl;
13;zkMon #13;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;13.png;https://explorer.modulus.xyz/batch/5/inference/40028;Owl;
14;zkMon #14;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;14.png;https://explorer.modulus.xyz/batch/5/inference/40029;Owl;
15;zkMon #15;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;15.png;https://explorer.modulus.xyz/batch/5/inference/40030;Owl;
16;zkMon #16;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;16.png;https://explorer.modulus.xyz/batch/5/inference/40031;Owl;
17;zkMon #17;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;17.png;https://explorer.modulus.xyz/batch/5/inference/40032;Owl;
18;zkMon #18;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;18.png;https://explorer.modulus.xyz/batch/5/inference/40033;Owl;
19;zkMon #19;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;19.png;https://explorer.modulus.xyz/batch/5/inference/40034;Owl;
20;zkMon #20;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;20.png;https://explorer.modulus.xyz/batch/5/inference/40035;Owl;
21;zkMon #21;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;21.png;https://explorer.modulus.xyz/batch/5/inference/40036;Owl;
22;zkMon #22;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;22.png;https://explorer.modulus.xyz/batch/5/inference/40037;Owl;
23;zkMon #23;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;23.png;https://explorer.modulus.xyz/batch/5/inference/40038;Owl;
24;zkMon #24;zkMon symbolizes humanity's initial efforts to craft an autonomous AI artist. By owning it, you hold a piece of its provenance. This collection blends educational, technological, and futuristic elements, representing AI culture.;24.png;https://explorer.modulus.xyz/batch/5/inference/40039;Owl;
